"Financieel risico hypotheekschuld; eigenwoningbezitters";;;;;;;;;;;
Huishoudenskenmerken: Totaal particuliere huishoudens;;;;;;;;;;;
;;Perioden;;;;;;;;;
Onderwerp;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Aantal huishoudens;x 1 000;3800;3905;3975;4126;4174;4214;4251;4286;4305;4345
Hypotheekschuld eigen woning ;1 000 euro;134;139;149;149;152;154;157;158;157;154
Waarde eigen woning ;1 000 euro;272;290;302;300;281;275;274;244;242;249
Bruto-inkomen ;1 000 euro;65,2;67,3;70,8;71,5;71,6;72,4;73,1;74,4;75,2;77,9
Besteedbaar inkomen ;1 000 euro;36,8;38,1;40,9;41,2;41,2;41,2;41,1;41,6;41,9;44
||Hypotheekschuld / woningwaarde ;%;0,49;0,48;0,49;0,5;0,54;0,56;0,57;0,65;0,65;0,62
||Hypotheekschuld / bruto-inkomen ;%;2,1;2,1;2,1;2,1;2,1;2,1;2,1;2,1;2,1;2
||Hypotheekschuld / besteedbaar inkomen;%;3,6;3,6;3,6;3,6;3,7;3,7;3,8;3,8;3,7;3,5
||||Geen schuld;x 1 000;532;544;552;671;686;727;716;719;745;815
|||0 tot 0,25;x 1 000;712;712;698;636;552;512;486;401;383;385
|||0,25 tot 0,75;x 1 000;1421;1460;1462;1424;1330;1280;1272;1145;1122;1141
|||0,75 tot 1,00;x 1 000;599;697;758;734;667;643;675;565;578;625
|||1 of hoger;x 1 000;537;493;505;662;939;1052;1103;1455;1476;1379
||||Geen schuld;x 1 000;532;544;552;671;686;727;716;719;745;815
|||0 tot 2;x 1 000;1531;1496;1467;1430;1398;1368;1355;1369;1367;1384
|||2 tot 4;x 1 000;1167;1256;1312;1371;1399;1413;1485;1521;1543;1542
|||4 of hoger;x 1 000;569;610;643;654;690;706;696;677;650;604
||||Geen schuld;x 1 000;532;544;552;671;686;727;716;719;745;815
|||0 tot 3,5;x 1 000;1524;1499;1507;1462;1428;1374;1344;1341;1334;1366
|||3,5 tot 7;x 1 000;1147;1246;1296;1337;1388;1407;1476;1524;1571;1595
|||7 of hoger;x 1 000;597;617;619;656;671;706;716;702;654;569
Bron: CBS;;;;;;;;;;;
