"Woonlasten huishoudens; kenmerken huishouden, woning";;;
Kenmerken huishoudens: Totaal;;;
Kenmerken woningen: Totaal;;;
;;;
;Onderwerp;Totaal woonlasten;Woonquote
;Marges;Waarde;Waarde
Eigenaar of huurder;Perioden;euro;%
Totaal;2009;773,4;31,8
Totaal;2012;822,9;33,5
Totaal;2015;798,8;32,5
Eigenaar;2009;921,6;30,4
Eigenaar;2012;970,9;31,4
Eigenaar;2015;894,9;28,3
Huurder;2009;557,8;33,8
Huurder;2012;603,4;36,6
Huurder;2015;654,4;38,8
Huurt woning van particulier verhuurder;2009;712,1;39,4
Huurt woning van particulier verhuurder;2012;749,9;40,8
Huurt woning van particulier verhuurder;2015;810,6;42,1
Huurt woning van sociaal verhuurder;2009;526,2;32,7
Huurt woning van sociaal verhuurder;2012;562,6;35,4
Huurt woning van sociaal verhuurder;2015;605,8;37,8
Bron: CBS;;;
